,when_index,start_acc,end_acc,actual_hz,clip,frame,frame_file,source_file
0,1,0,0,5.994,2,1,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image1_100.png,acc01_2.avi
0,1,1,0,5.994,2,2,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image1_105.png,acc01_2.avi
0,1,0,0,5.994,2,3,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image1_110.png,acc01_2.avi
0,1,0,0,5.994,2,4,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image1_115.png,acc01_2.avi
0,1,0,0,5.994,2,5,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image1_120.png,acc01_2.avi
0,1,0,0,5.994,2,6,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image1_125.png,acc01_2.avi
0,1,0,0,5.994,2,7,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image1_130.png,acc01_2.avi
0,1,0,0,5.994,2,8,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image1_135.png,acc01_2.avi
0,1,0,1,5.994,2,9,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image1_140.png,acc01_2.avi
0,1,0,0,5.994,2,10,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image1_145.png,acc01_2.avi
0,1,1,0,5.994,2,1,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image2_100.png,acc02_2.avi
0,1,0,0,5.994,2,2,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image2_105.png,acc02_2.avi
0,1,0,0,5.994,2,3,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image2_110.png,acc02_2.avi
0,1,0,0,5.994,2,4,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image2_115.png,acc02_2.avi
0,1,0,0,5.994,2,5,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image2_120.png,acc02_2.avi
0,1,0,1,5.994,2,6,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image2_125.png,acc02_2.avi
0,1,0,0,5.994,2,7,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image2_130.png,acc02_2.avi
0,1,0,0,5.994,2,8,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image2_135.png,acc02_2.avi
0,1,0,0,5.994,2,9,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image2_140.png,acc02_2.avi
0,1,0,0,5.994,2,10,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image2_145.png,acc02_2.avi
0,1,0,0,5.0,0,1,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image3_0.png,acc03_0.avi
0,1,0,0,5.0,0,2,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image3_5.png,acc03_0.avi
0,1,0,0,5.0,0,3,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image3_10.png,acc03_0.avi
0,1,0,0,5.0,0,4,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image3_15.png,acc03_0.avi
