,when_index,start_acc,end_acc,actual_hz,clip,frame,frame_file,source_file
0,1,0,0,14.985,5,1,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image1_100.png,acc01_5.avi
0,1,0,0,14.985,5,2,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image1_102.png,acc01_5.avi
0,1,1,0,14.985,5,3,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image1_104.png,acc01_5.avi
0,1,0,0,14.985,5,4,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image1_106.png,acc01_5.avi
0,1,0,0,14.985,5,5,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image1_108.png,acc01_5.avi
0,1,0,0,14.985,5,6,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image1_110.png,acc01_5.avi
0,1,0,0,14.985,5,7,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image1_112.png,acc01_5.avi
0,1,0,0,14.985,5,8,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image1_114.png,acc01_5.avi
0,1,0,0,14.985,5,9,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image1_116.png,acc01_5.avi
0,1,0,0,14.985,5,10,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image1_118.png,acc01_5.avi
0,1,0,0,14.985,4,1,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image2_80.png,acc02_4.avi
0,1,0,0,14.985,4,2,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image2_82.png,acc02_4.avi
0,1,0,0,14.985,4,3,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image2_84.png,acc02_4.avi
0,1,0,0,14.985,4,4,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image2_86.png,acc02_4.avi
0,1,0,0,14.985,4,5,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image2_88.png,acc02_4.avi
0,1,0,0,14.985,4,6,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image2_90.png,acc02_4.avi
0,1,0,0,14.985,4,7,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image2_92.png,acc02_4.avi
0,1,0,0,14.985,4,8,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image2_94.png,acc02_4.avi
0,1,0,0,14.985,4,9,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image2_96.png,acc02_4.avi
0,1,1,0,14.985,4,10,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image2_98.png,acc02_4.avi
0,1,0,0,12.5,1,1,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image3_20.png,acc03_1.avi
0,1,0,0,12.5,1,2,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image3_22.png,acc03_1.avi
0,1,0,0,12.5,1,3,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image3_24.png,acc03_1.avi
0,1,0,0,12.5,1,4,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image3_26.png,acc03_1.avi
0,1,0,0,12.5,1,5,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image3_28.png,acc03_1.avi
0,1,0,0,12.5,1,6,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image3_30.png,acc03_1.avi
0,1,1,0,12.5,1,7,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image3_32.png,acc03_1.avi
0,1,0,0,12.5,1,8,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image3_34.png,acc03_1.avi
0,1,0,0,12.5,1,9,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image3_36.png,acc03_1.avi
0,1,0,0,12.5,1,10,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image3_38.png,acc03_1.avi
0,1,0,0,12.5,1,1,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image4_20.png,acc04_1.avi
0,1,0,0,12.5,1,2,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image4_22.png,acc04_1.avi
0,1,0,0,12.5,1,3,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image4_24.png,acc04_1.avi
0,1,0,0,12.5,1,4,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image4_26.png,acc04_1.avi
0,1,0,0,12.5,1,5,C:/Users/ibshi/Desktop/startup.ml/video_stuff/accident_videos/png/image4_28.png,acc04_1.avi
